Nome,Setor,Status,Duração (dias),%,Predecessor,Data,Bloqueando,Seleção,Subitem,item principal
Fazer a estabilidade dinâmica da aeronave,Estabilidade e Controle,Não iniciada,5,0,,03/22/2024 → 03/27/2024,,,,
Analise de desempenho da aeronave,Desempenho,Não iniciada,1,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 04/07/2024,,,"Analisar subida (https://www.notion.so/Analisar-subida-e766951914b74010a23e40862a83592c?pvs=21), Analisar cruzeiro (https://www.notion.so/Analisar-cruzeiro-aaed71abed064e2891b85650c99a3c87?pvs=21), Analisar curva (https://www.notion.so/Analisar-curva-d18cb552e17d49c3afa1c047d0ecb8e7?pvs=21), Analisar descida (https://www.notion.so/Analisar-descida-4700d86252584948b0ea67a33abeab6f?pvs=21), Analisar pouso (https://www.notion.so/Analisar-pouso-27c9979023484902b6b9e33da5098d9a?pvs=21)",
Analisar dinâmica longitudinal,Estabilidade e Controle,Não iniciada,15,0,Montar aeronave  (https://www.notion.so/Montar-aeronave-620d2ce19e46419f8e4b7092e66c35dd?pvs=21),04/03/2024 → 04/16/2024,,,,Analisar Dinâmica (https://www.notion.so/Analisar-Din-mica-6c3240b408494b218571211704ad42aa?pvs=21)
Analisar longarina,Estruturas e Ensaios Estruturais,Não iniciada,3,0,Montar aeronave (preliminar) (https://www.notion.so/Montar-aeronave-preliminar-543ebe17ab314c3a9bbe0449284564ad?pvs=21),03/26/2024 → 03/28/2024,"Testar flexão da longarina (https://www.notion.so/Testar-flex-o-da-longarina-bbc2786301cd4b7cbb67554df65dea12?pvs=21), Testar torção da longarina (https://www.notion.so/Testar-tor-o-da-longarina-9655f2fc3a3d4dcb89159c65adf82ef7?pvs=21), Montar aeronave  (https://www.notion.so/Montar-aeronave-620d2ce19e46419f8e4b7092e66c35dd?pvs=21)",,,Analises estruturais (https://www.notion.so/Analises-estruturais-6cca401441d1412a8169ed3eaff89361?pvs=21)
Analisar reversão de controle,Aeroelasticidade e Cargas,Não iniciada,4,0,,03/22/2024 → 03/25/2024,,,,Analises aeroelasticas (https://www.notion.so/Analises-aeroelasticas-bc6ea23d82654f22a141c7e3cc6c09aa?pvs=21)
Calcular deslocamento da longarina na ponta da asa,Estruturas e Ensaios Estruturais,Não iniciada,5,0,,03/22/2024 → 03/26/2024,,,,Calcular deslocamento das longarinas (https://www.notion.so/Calcular-deslocamento-das-longarinas-4b3808533a78464d96eb0c6f18e8e060?pvs=21)
Calcular cargas no boom,Aeroelasticidade e Cargas,Não iniciada,1,0,,03/22/2024 → 03/22/2024,,,,
Escolher perfil da asa,Aerodinâmica,Concluído,14,1,Analisar critérios do regulamento (https://www.notion.so/Analisar-crit-rios-do-regulamento-e5875688d2f24978878ced955f8b1bf2?pvs=21),02/10/2024 → 02/23/2024,MDO (https://www.notion.so/MDO-28ceeecd9ef94ea5901383529322025f?pvs=21),,,MDO de perfis (https://www.notion.so/MDO-de-perfis-157df106650542a9bae2dd2cabd5c71f?pvs=21)
Prever momento de inércia,Estruturas e Ensaios Estruturais,Não iniciada,1,0,,03/19/2024 → 03/19/2024,,,,
Construção do segundo protótipo,Construção,Não iniciada,20,0,,05/01/2024 → 05/21/2024,,Dúvida,,
Construção do Avião principal 1,Construção,Não iniciada,20,0,,06/09/2024 → 06/25/2024,,,,
Construção do Avião principal 2,Construção,Não iniciada,20,0,,07/05/2024 → 07/25/2024,,,,
Segunda bateria de Voo,Todos,Não iniciada,5,0,,07/10/2024 → 07/14/2024,,,,
Terceira bateria de Voo,,Não iniciada,,,,08/09/2024 → 08/13/2024,,,,
Quarta bateria de voo,Todos,Não iniciada,5,0,,09/09/2024 → 09/13/2024,,,,
Quinta bateria de Voo,Todos,Não iniciada,5,0,,10/06/2024 → 10/10/2024,,,,
Testar torção da longarina,"Aeroelasticidade e Cargas, Eletrônica e Instrumentação",Não iniciada,3,0,"Analises estruturais (https://www.notion.so/Analises-estruturais-6cca401441d1412a8169ed3eaff89361?pvs=21), Analisar longarina (https://www.notion.so/Analisar-longarina-80c6c31d2ab54224b4b4c7eabd3441ce?pvs=21)",03/29/2024 → 04/01/2024,,,,
"Montar aeronave ",Estruturas e Ensaios Estruturais,Não iniciada,4,0,"Analises estruturais (https://www.notion.so/Analises-estruturais-6cca401441d1412a8169ed3eaff89361?pvs=21), Analisar TDP (https://www.notion.so/Analisar-TDP-558b04115d4e46d38344e807107e243a?pvs=21), Analisar rodinha (https://www.notion.so/Analisar-rodinha-ab6c26daa17f40a9bac13094fa37dcfe?pvs=21), Analisar boom (https://www.notion.so/Analisar-boom-1972859676a74db98a377378edb0277f?pvs=21), Analisar berço do motor (https://www.notion.so/Analisar-ber-o-do-motor-93a2e85d9c414abfab569531959279cd?pvs=21), Analisar compartimento de cargas (https://www.notion.so/Analisar-compartimento-de-cargas-100406590e21430b84bfa486269fc76a?pvs=21), Analisar longarina (https://www.notion.so/Analisar-longarina-80c6c31d2ab54224b4b4c7eabd3441ce?pvs=21)",03/30/2024 → 04/02/2024,"Analisar Dinâmica (https://www.notion.so/Analisar-Din-mica-6c3240b408494b218571211704ad42aa?pvs=21), Analisar dinâmica látero-dimensional (https://www.notion.so/Analisar-din-mica-l-tero-dimensional-89d837b8f54d4f32b3e94731b5735296?pvs=21), Validar CG (https://www.notion.so/Validar-CG-9d6ad20f1b8b43d98d32f1052b8ec609?pvs=21), Montar diagrama elétrico (https://www.notion.so/Montar-diagrama-el-trico-5692275cfcca4bf9ba467ee488f4924a?pvs=21), Analisar dinâmica longitudinal (https://www.notion.so/Analisar-din-mica-longitudinal-e8b61644ff714072a530f5eca36b6325?pvs=21)",Dúvida,,
